name,asciiname,country,geonameid
Banora Point,Banora Point,Australia,2176934
Bankstown,Bankstown,Australia,2176947
Ballarat,Ballarat,Australia,2177091
Bairnsdale,Bairnsdale,Australia,2177233
Auburn,Auburn,Australia,2177513
Ashfield,Ashfield,Australia,2177565
Ascot Vale,Ascot Vale,Australia,2177576
Armidale,Armidale,Australia,2177671
Albany Creek,Albany Creek,Australia,2178208
Maroochydore,Maroochydore,Australia,2207268
Cheltenham,Cheltenham,Australia,2207618
Randwick,Randwick,Australia,2208285
Dee Why,Dee Why,Australia,2208305
Umina Beach,Umina Beach,Australia,2208313
Palmerston,Palmerston,Australia,6301965
Hervey Bay,Hervey Bay,Australia,6354957
Sydney Central Business District,Sydney Central Business District,Australia,6619280
Kingsford,Kingsford,Australia,6621337
Springfield Lakes,Springfield Lakes,Australia,6693094
Bracken Ridge,Bracken Ridge,Australia,6943558
Kallangur,Kallangur,Australia,6943560
North Lakes,North Lakes,Australia,6943562
The Gap,The Gap,Australia,6943585
Caroline Springs,Caroline Springs,Australia,7281805
Hoppers Crossing,Hoppers Crossing,Australia,7281807
